task_id,request_id,title,created_date,module,scheduled_start_time,scheduled_end_time,actual_start_time,actual_end_time,status_id,status_name,group_name,group_id,owner_Email,owner_Name,owner_id,CreatedBy_Email,CreatedBy_Name,CreatedBy_id,Priority_name,percentage_completion,Estimated_effort_days,task_type_name,Task_order,overdue,ticket_id,subject,description,site_id,site_name
1989000004853295,1989000000228717,,"{'display_value': 'Sep 6, 2024 06:59 AM', 'value': '1725586152658'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,RE: Small Business Vendor update,,,
1989000004853117,1989000000228717,,"{'display_value': 'Sep 6, 2024 04:48 AM', 'value': '1725578299976'}",,,,,,1989000000004937,Open,BI,1989000000279305,,,,,,,,,,,,,,RE: URGENT - BI (AP Vendor Master Data),,,
1989000004827835,1989000000253567,,"{'display_value': 'Sep 3, 2024 12:09 PM', 'value': '1725345575759'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,Sales and Customer Service Dashboard - Power BI,,,
1989000004788625,1989000000252979,,"{'display_value': 'Aug 29, 2024 09:55 AM', 'value': '1724905503504'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,Refresh Aug ACTUAL in BI,,,
1989000004788117,1989000000228019,,"{'display_value': 'Aug 29, 2024 04:56 AM', 'value': '1724887604370'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,RE: CSL Projection Report Questions (MS Teams),,,
1989000004755655,1989000000254125,,"{'display_value': 'Aug 26, 2024 08:23 AM', 'value': '1724640780262'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,RE: Manual adjt to occur in Aug - will delay the CMT in RDM,,,
1989000004755495,1989000000226392,,"{'display_value': 'Aug 26, 2024 05:53 AM', 'value': '1724631832647'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,Urgent request to look at BI complaint spreadsheet,,,
1989000004752324,1989000000275213,,"{'display_value': 'Aug 23, 2024 11:01 AM', 'value': '1724391106678'}",,,"{'display_value': 'Oct 31, 2024 10:44 PM', 'value': '1730394840000'}",,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,PBI Usage Tracking Dashboard (BI-FY25-Unplanned),,,
1989000004752280,1989000000232923,,"{'display_value': 'Aug 23, 2024 10:50 AM', 'value': '1724390438005'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,"Aug , FRT PRO Load",,,
1989000004746601,1989000000272344,,"{'display_value': 'Aug 23, 2024 07:53 AM', 'value': '1724379813980'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,CalendarMMYYYY is wrong in Dim.calendardate,,,
1989000004744583,1989000000253239,,"{'display_value': 'Aug 23, 2024 07:40 AM', 'value': '1724379056118'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,Ticket for AVD Testing,,,
1989000004747449,1989000000272344,,"{'display_value': 'Aug 23, 2024 06:23 AM', 'value': '1724374436400'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,Power BI incremental load research,,,
1989000004744367,1989000000226149,,"{'display_value': 'Aug 23, 2024 05:24 AM', 'value': '1724370843638'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,RE: Please refresh the BI Parked report to include the below user,,,
1989000004728673,1989000000259911,,"{'display_value': 'Aug 21, 2024 07:21 AM', 'value': '1724205071453'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,Report Issue,,,
1989000004657781,1989000000225913,,"{'display_value': 'Aug 16, 2024 02:40 AM', 'value': '1723756245378'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,Waste KPI dashboard (BI Report),,,
1989000004657275,1989000000226165,,"{'display_value': 'Aug 15, 2024 06:27 AM', 'value': '1723683465044'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,3PL Planning -BI report change (BI-FY25-Unplanned),,,
1989000004593855,1989000000259781,,"{'display_value': 'Aug 8, 2024 11:32 AM', 'value': '1723096921896'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,RE: Difference in P1 between CMT & Projected in P1,,,
1989000004587111,1989000003499080,,"{'display_value': 'Aug 7, 2024 09:10 AM', 'value': '1723002017135'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,BI Reporting - Incorrect BS values P1 F25,,,
1989000004579951,1989000000226392,,"{'display_value': 'Aug 7, 2024 06:44 AM', 'value': '1722993244532'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,FW: Additional Sub Categories For ARIA,,,
1989000004579837,1989000000254132,,"{'display_value': 'Aug 7, 2024 06:31 AM', 'value': '1722992507699'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,RE: COgs variances coming through VPCM,,,
1989000004551549,1989000000258546,,"{'display_value': 'Aug 2, 2024 10:01 AM', 'value': '1722573072027'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,RE: Book1.xlsx,,,
